,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
0,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7192271232604981,0.6494245171546936,0.6,0.4765647087485876,0.04829209252286182,0.4781491002570694,0.6180735349655151,0.507108998298645,0.3099150061607361,0.5540284360189573,0.5655526992287918,0.85,0.72,0.79,0.72
1,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5895004868507385,0.5168584942817688,0.4154411792755127,0.17329543130226566,-0.04464766003227538,0.4974293059125964,0.6218284606933594,0.533017385005951,0.4135977327823639,0.5540284360189573,0.5655526992287918,0.29,0.72,0.25,0.72
2,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5569599747657776,0.47907921075820925,0.2811274528503418,-0.0013390556067159887,0.038710328133405136,0.43573264781491,0.6114532709121704,0.44865718483924866,0.03682719524949789,0.5540284360189573,0.5655526992287918,-0.14,0.72,-0.17,0.72
3,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7675886631011963,0.6977657318115235,0.6497549057006836,0.5722394591415316,0.026976869284561555,0.4588688946015424,0.6299586415290832,0.5090047359466553,0.28838526606559756,0.5540284360189573,0.5655526992287918,0.14,0.72,0.09,0.72
4,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6312635898590088,0.5452945113182068,0.4257352888584137,0.28834148917892155,0.0063878429263044545,0.48586118251928023,0.6211479663848877,0.5440758228302002,0.4719546616077423,0.5540284360189573,0.5655526992287918,0.52,0.72,0.46,0.72
5,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5575220465660096,0.49898441433906554,0.45098039507865906,-0.0099261019482213,0.0018894566971490168,0.5719794344473008,0.5589722633361817,0.559873616695404,0.998866856098175,0.5540284360189573,0.5655526992287918,0.75,0.72,0.75,0.72
6,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7723008036613465,0.7381178140640259,0.7460784316062927,0.617468266745695,0.06464497041420136,0.4820051413881748,0.6196996092796325,0.5254344344139099,0.3903682708740234,0.5540284360189573,0.5655526992287918,0.41,0.72,0.36,0.72
7,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7055706977844238,0.6222071766853332,0.5424019694328308,0.4433264941197004,-0.008606777837547153,0.4640102827763496,0.6524121165275574,0.5393365025520325,0.3728045284748077,0.5540284360189573,0.5655526992287918,0.26,0.72,0.2,0.72
8,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5637727975845337,0.5090047299861908,0.49436274766921995,0.056916681287493276,0.0677111350188273,0.5796915167095116,0.549919581413269,0.5333333313465118,0.7422096222639084,0.5540284360189573,0.5655526992287918,1.48,0.72,1.45,0.72
9,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7188372492790223,0.6850372314453125,0.7071078419685364,0.5508772950531302,0.0772122108660569,0.5282776349614395,0.608482015132904,0.5620852947235108,0.6141642987728119,0.5540284360189573,0.5655526992287918,1.17,0.72,1.11,0.72
