,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
0,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5853635668754578,0.5081922709941864,0.37622549533843996,0.17339906493374269,-0.043551640667025326,0.44087403598971725,0.5832423329353332,0.4666666626930237,0.1529745042324066,0.5540284360189573,0.5655526992287918,-0.02,0.72,-0.06,0.72
1,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5610938429832458,0.48774542808532717,0.3338235318660736,0.054004030802824454,-0.054242872512103246,0.4318766066838046,0.40136752724647523,0.438862556219101,0.011898016929626465,0.5540284360189573,0.5655526992287918,-0.33,0.72,-0.38,0.72
2,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.536912477016449,0.4758293867111206,0.3688725471496582,0.001693591714400311,-0.06666890801506198,0.43444730077120824,0.5333333492279053,0.44328593015670775,0.004532577842473984,0.5540284360189573,0.5655526992287918,,0.72,-0.57,0.72
3,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.693131935596466,0.5803656101226806,0.43161765336990354,0.4067310952711247,0.02767616998386213,0.4794344473007712,0.6769361376762391,0.5298578143119812,0.3014164328575134,0.5540284360189573,0.5655526992287918,1.21,0.72,1.14,0.72
4,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6133667945861816,0.5182125926017761,0.3468137264251709,0.2039737134202826,-0.05792092522861747,0.44087403598971725,0.653349232673645,0.4568720400333405,0.06232294514775276,0.5540284360189573,0.5655526992287918,0.38,0.72,0.34,0.72
5,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5394297957420349,0.48571428656578064,0.47328431010246275,0.0025835682513823954,0.007477138246368975,0.43444730077120824,0.0,0.44233807921409607,0.0,0.5540284360189573,0.5655526992287918,,0.72,-0.57,0.72
6,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.7652095556259155,0.664454972743988,0.5666666746139526,0.5102429117777803,0.0428994082840235,0.4704370179948586,0.6324321508407593,0.5127961993217468,0.3036827206611633,0.5540284360189573,0.5655526992287918,1.23,0.72,1.18,0.72
7,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6910798192024231,0.5557210445404053,0.35465686321258544,0.319184312413582,-0.025605164066702435,0.44601542416452444,0.702453875541687,0.5150079071521759,0.23909349143505096,0.5540284360189573,0.5655526992287918,0.61,0.72,0.56,0.72
8,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.2,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.565653920173645,0.49695327281951907,0.38946077823638914,0.14141445361894966,-0.028597364174287154,0.43573264781491,0.6333333373069763,0.443917852640152,0.0039660056121647354,0.5540284360189573,0.5655526992287918,-0.15,0.72,-0.18,0.72
9,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.788814389705658,0.6349356889724731,0.46348039507865907,0.4353485226298577,0.005567509413663352,0.4820051413881748,0.671379554271698,0.5175355553627015,0.299716717004776,0.5540284360189573,0.5655526992287918,0.58,0.72,0.52,0.72
10,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.712361466884613,0.5989167332649231,0.4600490152835846,0.3521725336332042,0.09448628294782146,0.4640102827763496,0.6756579875946045,0.500473928451538,0.1994334228336811,0.5540284360189573,0.5655526992287918,1.33,0.72,1.28,0.72
11,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.4,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5517407417297363,0.4970886826515198,0.4769607901573181,0.1146924308359143,-0.10319392146315232,0.42802056555269924,0.6242424309253692,0.442654025554657,0.006798866856843233,0.5540284360189573,0.5655526992287918,-0.46,0.72,-0.48,0.72
12,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.49419264793395995,0.5559918642044067,0.6464396357536316,0.267542958480242,-0.009736417428724997,0.4537275064267352,0.46225306391716003,0.5153238415718079,0.7032727360725403,0.4364928909952607,0.43444730077120824,-0.7,-0.72,-0.72,-0.72
13,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.45054593682289124,0.5023696601390839,0.6278637766838073,0.11985089524039116,-0.07452931683700925,0.42802056555269924,0.43550029397010803,0.44202210903167727,0.9599999785423279,0.4364928909952607,0.43444730077120824,-0.77,-0.72,-0.78,-0.72
14,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.05,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.43219590187072754,0.48869330286979673,0.5383901000022888,0.01797694939770933,-0.06815492200107598,0.43444730077120824,0.43512657284736633,0.4360189437866211,1.0,0.4364928909952607,0.43444730077120824,-0.72,-0.72,-0.72,-0.72
15,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5683391451835632,0.6380501031875611,0.7198142528533935,0.4884943323206119,0.009628832705755652,0.4704370179948586,0.47607773542404175,0.5371248006820679,0.6567272663116455,0.4364928909952607,0.43444730077120824,-0.99,-0.72,-1.02,-0.72
16,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.47722685933113096,0.5321597933769227,0.7235294222831726,0.23119912991784064,-0.035502958579881616,0.4370179948586118,0.4493572533130646,0.47930489778518676,0.8785454392433166,0.4364928909952607,0.43444730077120824,-0.7,-0.72,-0.72,-0.72
17,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.1,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.4265001893043518,0.48571428656578064,0.5099071145057679,-0.013598229883231117,-0.040727541689080105,0.43444730077120824,0.43408123254776,0.4338072657585144,0.9985454559326172,0.4364928909952607,0.43444730077120824,-0.72,-0.72,-0.72,-0.72
18,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6416357398033142,0.7123899817466736,0.7764705896377564,0.5521715983193753,0.0558230231307153,0.4794344473007712,0.4720683753490448,0.528909957408905,0.6836363673210144,0.4364928909952607,0.43444730077120824,-0.52,-0.72,-0.55,-0.72
19,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5253363251686096,0.5956668972969055,0.7814241290092468,0.4020732940116103,0.060556750941366255,0.455012853470437,0.44626439809799195,0.4815165936946869,0.7934545516967774,0.4364928909952607,0.43444730077120824,-0.5,-0.72,-0.51,-0.72
20,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.4354415416717529,0.49316181540489196,0.5359133124351502,0.12833255256061493,-0.06533082302313076,0.42159383033419023,0.43966093063354494,0.4486571907997131,0.9796363830566406,0.4364928909952607,0.43444730077120824,-1.01,-0.72,-1.02,-0.72
21,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6155800819396973,0.6890995264053345,0.7705882310867309,0.5432233037370247,-0.014671866594943461,0.4832904884318766,0.47418559193611143,0.5358609914779663,0.6312727212905884,0.4364928909952607,0.43444730077120824,-0.34,-0.72,-0.36,-0.72
22,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5304940819740296,0.6031144261360168,0.804643964767456,0.40389053109895356,0.011222431414739109,0.448586118251928,0.4691843092441559,0.5216429710388184,0.7403636336326599,0.4364928909952607,0.43444730077120824,-0.63,-0.72,-0.64,-0.72
