,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
0,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5752130389213562,0.5120000064373016,0.42637363970279696,0.14554430582446543,-0.043161586188292356,0.462033462033462,0.5540284360189573,0.5655526992287918,0.63,0.73,0.56,0.72
1,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5595007240772247,0.5079999983310699,0.40579487681388854,0.1415537245425298,-0.04515780954950088,0.46589446589446587,0.5540284360189573,0.5655526992287918,0.56,0.73,0.51,0.72
2,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.6072679102420807,0.5039999961853028,0.340747258067131,0.1318365772349439,-0.029525222551928687,0.46332046332046334,0.5540284360189573,0.5655526992287918,0.63,0.73,0.58,0.72
3,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.6415038347244263,0.5439999997615814,0.41930403411388395,0.169750738794346,-0.02902616671162661,0.4697554697554698,0.5540284360189573,0.5655526992287918,0.48,0.73,0.41,0.72
4,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5797222316265106,0.4680000007152557,0.19105494767427444,0.1200850159404887,-0.011761532236309713,0.4453024453024453,0.5540284360189573,0.5655526992287918,-0.22,0.73,-0.26,0.72
5,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.6106764733791351,0.5480000019073487,0.4989963352680206,0.11630551875736983,-0.038137307796061504,0.5083655083655083,0.5540284360189573,0.5655526992287918,0.48,0.73,0.45,0.72
6,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5352381050586701,0.49200000762939455,0.3407252788543701,0.018112289461808206,0.04414620987321283,0.5675675675675675,0.5540284360189573,0.5655526992287918,1.55,0.73,1.51,0.72
7,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5675959050655365,0.5079999983310699,0.5493606626987457,0.009032943676939409,0.01416239546803344,0.528957528957529,0.5540284360189573,0.5655526992287918,1.04,0.73,0.97,0.72
8,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5060501962900161,0.5000000059604645,0.352835164219141,0.031515219891400825,0.04549500944159712,0.5495495495495496,0.5540284360189573,0.5655526992287918,1.03,0.73,1.0,0.72
9,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5395833432674408,0.5240000069141388,0.5298221379518508,0.021132975703492374,0.037341516050714896,0.4697554697554698,0.5540284360189573,0.5655526992287918,0.53,0.73,0.47,0.72
10,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5569408476352692,0.5040000081062317,0.4095091551542282,-0.016118818511347666,-0.00662260588076613,0.5418275418275418,0.5540284360189573,0.5655526992287918,0.57,0.73,0.52,0.72
11,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5890174865722656,0.5519999980926513,0.5518568992614746,0.006764699459915757,0.023981656325869904,0.4954954954954955,0.5540284360189573,0.5655526992287918,0.65,0.73,0.6,0.72
12,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4808570683002472,0.5240000128746033,0.6173781275749206,0.16665204341643003,-0.03976261127596448,0.4749034749034749,0.4364928909952607,0.43444730077120824,-0.29,-0.73,-0.31,-0.72
13,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4871428608894348,0.536000007390976,0.564262193441391,0.15384573202162777,-0.06085783652549226,0.47361647361647363,0.4364928909952607,0.43444730077120824,-0.41,-0.73,-0.45,-0.72
14,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.5142921507358551,0.556000018119812,0.5644137024879455,0.1347998625414477,-0.03818451578095494,0.4555984555984556,0.4364928909952607,0.43444730077120824,-0.66,-0.73,-0.7,-0.72
15,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4430731892585754,0.4680000007152557,0.817898553609848,0.14978046845582127,-0.05468033450229293,0.4543114543114543,0.4364928909952607,0.43444730077120824,-1.23,-0.73,-1.26,-0.72
16,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4727876245975494,0.5160000026226044,0.639354407787323,0.15371320881635775,-0.047990288643107726,0.4568854568854569,0.4364928909952607,0.43444730077120824,-0.88,-0.73,-0.91,-0.72
17,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4919040262699127,0.5280000030994415,0.6199538826942443,0.1442126659281926,-0.04457782573509572,0.4555984555984556,0.4364928909952607,0.43444730077120824,-0.52,-0.73,-0.53,-0.72
18,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4920146405696869,0.5320000112056732,0.7310935437679291,0.0013672738971326481,-0.02561370380361483,0.4864864864864865,0.4364928909952607,0.43444730077120824,-0.37,-0.73,-0.44,-0.72
19,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.45337209701538084,0.49200000166893004,0.6403425633907318,-0.004714170295060605,0.03465066091178848,0.5353925353925354,0.4364928909952607,0.43444730077120824,-0.32,-0.73,-0.4,-0.72
20,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.1,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.3908065021038055,0.43999999165534975,0.5523188412189484,0.04219904437059707,0.03362557323981674,0.5431145431145431,0.4364928909952607,0.43444730077120824,0.29,-0.73,0.21,-0.72
21,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.49461055994033815,0.5360000014305115,0.6379999816417694,0.005317379367325126,-0.04884003237118961,0.4723294723294723,0.4364928909952607,0.43444730077120824,-0.8,-0.73,-0.86,-0.72
